url,category,title,subtitle,from,published,content
The funding comes as the Government is set to unveil its flagshipLevelling Up White Paperlater today (2 February 2022), setting out a plan to transform the UK by spreading opportunity and prosperity to all parts of it.

Space plays a pivotal role in our daily lives and is already a vital part of the UK economy, worth over £16 billion per year. However, the balance of investment and jobs is skewed towards certain regions.

The government recently launched itsNational Space Strategywhich outlines its long-term plans to grow and level up the space sector across the UK.

Dr Paul Bate, Chief Executive of the UK Space Agency, said:

The National Space Strategy sets out a vision for ensuring we have a thriving, resilient and well-connected space ecosystem across the whole of the UK.

We are building on our strengths in space such as satellite manufacturing, while supporting emerging markets like in-orbit servicing, to unlock the growth in the UK space sector and help level up the economy.

Will Whitehorn, President of the trade association UKspace, said:

Additional grants of this nature are hugely important in helping to communicate the potential for the growing ‘New Space’ economy. Monitoring and understanding our world from space has already become crucial to our survival. Now industrialisation in space will be driven by the need to get to Net Zero and mitigate climate change by shifting more and more carbon generating digital activities outside the atmosphere, and even producing solar power in space. The opportunities these activities will bring to the UK should not be underestimated, from space launch to digital services and even infinity and beyond!

There is also an urgent need for continuing significant investment by government and the private sector if these goals are to be achieved and the UK is able to move into the top tier of nations leading the industrial revolution in space.

Funding has gone to the following organisations in England, Wales, Scotland and Northern Ireland:

Cornwall space cluster will use grant funds to hold a series of workshops and events to showcase local business capabilities to academic and industry partners across the UK to stimulate new opportunities for research and innovation. The CDC will also use funds to create a new cluster website, undertake research for a local skills strategy and refine the local space proposition for the region.

The West of England region will use grant funds to build and deliver on the recommendations from the West of England Space Strategy. Funding will support a range of activities to raise the profile of the region’s space sector, including attracting inward investment and hosting a regional showcase event.

Northern Ireland will use grant funds to undertake a series of cluster development activities that build on the recommendations from the NI Space Market Insight Report. Activities include the formation of a NI Space Leadership Council, undertaking stakeholder engagement to further mature the cluster and define a business case for sustainable cluster development.

Wales was funded to appoint a Space Wales Development Manager. The individual appointed will lead the implementation of the Wales space sector strategy as embodied in the document “Wales –a sustainable space nation” and development of the Space Wales network and cluster.

West Midlands region will use grant funds to promote the West Midlands cluster, identify business opportunities, connect businesses to academia and space suppliers including non-space companies that can pivot into both the upstream and downstream sectors. The MAA and the University of Birmingham will also use funds to hold workshops to showcase the expertise within the region.

Space Hub Yorkshire will use grant funds to appoint 2x Cluster Development Managers that will drive and take forward recommendations from Yorkshire’s regional space strategy. Funding will also be used to initiate and deliver a programme of events, which will be continued and sustained beyond the lifetime of this grant through in-kind support from regional universities.

Space Hub Sutherland will use grant funds to undertake cluster development activity around the proposed site of a spaceport and launch facilities at Sutherland.

As part of the Arc for Space Group, The Open University will use grant funds to support and coordinate regional space sector growth ambitions in the Oxford-Cambridge Arc. Work will be delivered in close collaboration with industry, academia and regional organisations. World-leading research programmes will be mapped to develop commercial and funding opportunities for the region to enable businesses to participate and commercialise R&D projects.

Scotland will use grant funds to appoint a cluster development manager to build and deliver on recommendations from the Scottish Space Strategy. Other activities will include identifying opportunities in the downstream sectors, scaling of regional STEM activities and undertake a series of stakeholder engagement activities to promote the cluster.

This grant funding is being used to establish a North West of England Space Cluster, that connects with and empowers the UK’s global space Ambitions.  It brings together all five bodies of the North West (Cumbria, Cheshire and Warrington, Greater Manchester, Lancashire and Liverpool City Region) with local, regional and national stakeholder organisations. Through building the shared understanding of the regions sizable space-related research, innovation and business assets, the added value the space sector can bring to other industrial sectors and the opportunity for greater national and international connection, a vision and strategy for this cluster can be co-created. Hosted by STFC, a North West Space Cluster Leadership Group has been established, to enable and ready this cluster for launch later in 2022.

Each organisation will use the funding to support locally led space sector activities in their region. This will include business case development and evidence gathering for local authorities and economic development bodies.

The new funding for regional space clusters follows £500k awarded toseven space hubsacross the UK in 2020 to bring together local authorities, expertise and businesses to create a strategy for how their area can take maximum advantage of the commercial space race.

The UK already boasts a thriving space sector employing over 45,000 people in highly skilled jobs – from space scientists and researchers to engineers and satellite manufacturers.

The National Space Strategy looks to harness these strengths and support British companies to seize future opportunities, with the global space economy projected to grow from an estimated £270 billion in 2019 to £490 billion by 2030.

The UK Space Agency is working with local partners, Devolved Administrations, universities and industry to encourage more space businesses to start, grow and connect with the UK’s wider UK space ecosystem."
https://www.gov.uk/government/news/marine-management-organisation-board-meeting,News story,Marine Management Organisation Board meeting,A public meeting of the MMO Board is taking place on 24 June 2014.,Marine Management Organisation,23 May 2014,"The Marine Management Organisation (MMO) has been established to make a significant contribution to sustainable development in the marine area and to promote the UK government’s vision for clean, healthy, safe, productive and biologically diverse oceans and seas.

TheMMOBoard will be meeting on Tuesday 24 June 2014. Members of the public are welcome to attend this meeting by prior appointment. The meeting is scheduled to start at 13.15 and conclude at 16.15. It will take place at:

The Centre for LifeTimes SquareNewcastle upon TyneNE1 4EP

The agenda for this meeting is now available. The Chair has allocated a 45 minute slot from 15.30 – 16.15 for members of the public to ask specific questions or submit comment, however written notice in advance is required. Please submit your questions or comments to Darren Sanders by no later than 10am on Monday 23 June 2014 for Chair consideration.

Attendees atMMOBoard meetings are asked to observe the following protocols:

Open sessions of the Board will be held in public with adequate arrangements for the public to attend and to hear in reasonable numbers.

MMOis entitled to reserve the right not to admit members of the public who appear without advance notice in large numbers and the right to eject persons who disrupt meetings.

Members of the public have no right to participate in discussions, but may be allowed to do so at the Chair’s discretion if they have given written notice in advance of their wish to do so and their participation is relevant and facilitates debate.

No cameras or recording equipment may be used without the approval of the Chair.

To register your interest and for more information, please contact Darren Sanders at:

Marine Management OrganisationLancaster HouseHampshire CourtNewcastle upon TyneNE4 7YH

You can alsoemail Darren."
https://www.gov.uk/government/news/new-crackdown-on-fraud-introduced-by-home-office?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_289,News story,New crackdown on fraud introduced by the Home Office,New offence will make it easier to prosecute a large organisation if an employee commits fraud for the organisation’s benefit.,Home Office,11 April 2023,"The new failure to prevent fraud offence will make it easier to prosecute a large organisation if an employee commits fraud for the organisation’s benefit.

If fraud is committed by an employee of an organisation, the organisation must be able to demonstrate it had reasonable measures in place to deter the offending or risk receiving an unlimited fine.

The proposed legislation encourages businesses to do more to deter offending which will help cut crime and protect consumers, investors, other businesses and the taxpayer from fraudulent practices.

Businesses which fail to deter fraud will face enforcement action under new Home Office plans.

The tighter legislation, to be introduced through the Economic Crime and Corporate Transparency Bill, will allow prosecutors to hold big companies to account if an employee commits fraud for the organisation’s benefit, and they did not have reasonable prevention procedures in place.

The Home Office tabled an amendment to introduce the failure to prevent fraud offence earlier today, and it is supported by the Serious Fraud Office and the Crown Prosecution Service.

Security Minister Tom Tugendhat said:

We are determined to crack down on unscrupulous companies that seek to defraud their customers.

Our new failure to prevent fraud offence will protect consumers from dishonest and misleading sales practices, and level the playing field for the majority of businesses that behave responsibly.

This government is committed to fighting economic crime, as demonstrated by our recently launched Economic Crime Plan 2 which set out how we will give law enforcement more state of the art resources to tackle high level offending.

The new legislation will protect the public from a wide range of harms including dishonest sales practices, false accounting and hiding important information from consumers or investors.

It could also hold companies to account for dishonest practices in financial markets.

The new powers follow on from recommendations made by the Law Commission’s 2022 review of corporate criminal liability.

Lisa Osofsky, Director of the Serious Fraud Office, said:

This new offence would be a game changer for law enforcement – bringing the law on fraud in line with bribery.

As the UK’s top economic crime prosecutors, this would help us crack down on fraudulent enterprises, compensate their victims and ultimately protect the integrity of our economy.

Prosecutors will independently consider whether a prosecution is in the public interest before any charges are brought.

A business could face legal action if, for example, employees were selling products to a customer under false pretences.

It could also be held accountable if employees falsified accounts to mislead investors.

Under both examples, a business could receive an unlimited fine if it is found to not have reasonable fraud prevention procedures in place. This enforcement not only ensures justice is secured for victims, it also encourages companies to create an environment where it is difficult for fraudulent tactics to thrive.

There will be no requirement to prove that company bosses ordered or knew about a fraud committed by an employee.

A business will not be liable if it can prove reasonable measures were in place to deter the offence. The government will publish guidance on reasonable prevention measures in due course. The offence will not be enforced until the guidance is published.

Andrew Penhale, Chief Crown Prosecutor for the CPS, said:

The scale of fraud in the UK – now comprising 41% of all criminal activity – is so significant that extra measures to help prevent it and protect people from falling victim to this crime is welcome.

The new corporate offence of failing to prevent fraud is another important measure to drive better corporate behaviours and will complement existing measures for prosecutors.

Larger corporate enterprises, which fail to put in place reasonable measures to prevent fraud being committed by their employees, may be held criminally liable for that failure.

A primary benefit of the new legislation will be a drive towards better corporate behaviours which seek to prevent fraud. A similar outcome has been observed under the existing failure to prevent bribery and failure to prevent facilitation of tax evasion offences.

Small and medium sized enterprises will be exempt from the new offence but remain accountable under the existing legal framework.

The new legislation will apply across the United Kingdom."
https://www.gov.uk/government/news/100-million-crackdown-on-crime-in-prison?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_103,Press release,£100 million crackdown on crime in prison,Airport-style security and cutting-edge technology to crack down on criminal activity in prisons.,"Ministry of Justice, Prime Minister's Office, 10 Downing Street and The Rt Hon Robert Buckland KC",13 August 2019,"Prison security will be boosted by a £100 million investment as part of a crackdown on crime behind bars, the government announced today (13 August 2019).

The investment will target all types of crime in prison; from drug smugglers fuelling a rise in violence and self-harm, to gang kingpins continuing to run their operations from jail, to offenders seeking to contact their victims in the outside world.

Tough airport-style security, including X-ray scanners and metal detectors, will be put into prisons across the estate to clamp down on the drugs, weapons and mobile phones that increase the risk to our officers and hinder rehabilitation.

Cutting-edge technology to detect and block mobile phones will be brought in to better identify and stop those who seek to organise drug supply or harass victims from the prison wings.

The new funding will bolster efforts to tackle corruption, improving intelligence analysis and strengthening the Counter Corruption Unit that roots out the small minority of dishonest staff and the criminals who seek to manipulate them.

In combination with the 4,700 additional officers who have been recruited since late 2016, this investment can have a major impact on crime behind bars. Without phones and access to drugs, criminal networks will be severely hindered, prison officers will be protected, and ultimately the public will be safer.

Prime Minister Boris Johnson said:

We cannot allow our prisons to become factories for making bad people worse.

We will stop the drugs, weapons and the mobile phones coming in, so we can safeguard victims, protect staff, cut violence and make our prisons properly equipped to reform and rehabilitate.

The public must see justice being done, punishment being served and feel protected.

Secretary of State for Justice, Robert Buckland QC MP said:

There is a direct link between crime on the wings and crime on our streets - it can no longer be assumed that prison walls are enough to stop organised criminals from continuing their operations.

This funding will have a transformative effect on prisons and give our hard-working officers the advantage as they tackle this scourge head-on.

By disrupting those who continue to offend behind bars, we can keep our staff and other prisoners safe, and make sure that prisons truly fulfil their purpose of protecting the public.

All prisons across the estate will benefit from the measures, with airport-style security being concentrated in the closed estate.

The new security funding comes days after the Prime Minister announced a programme of up to £2.5 billion to create 10,000 additional prison places.

The £100 million is the latest in a series of significant investments to increase security and stability in prisons, including £70 million announced previously. The £70 million funded new security measures such as improved search teams, a digital categorisation tool to better manage offenders’ risk, and improvements to the physical security and safety of the prison estate. Further funding has been made in previous years to build intelligence capabilities, a Financial Investigations Unit and a Serious and Organised Crime Task Force.

This has come against a backdrop of rising prison officer numbers, with more than 4,700 now recruited since October 2016 and staffing levels at their highest since 2012.

Further information on the Counter Corruption Unit, launched earlier this year, is available onGOV.UK.

Further information on the £2.5 billion prison capacity investment programme, is available onGOV.UK."
https://www.gov.uk/government/news/government-crackdown-on-image-based-abuse?utm_campaign=English%2BCrime&utm_medium=web&utm_source=English_Crime_300,Press release,Government crackdown on image-based abuse,Abusers who share intimate images without consent to face up to 6 months in prison.,"Ministry of Justice, The Rt Hon Edward Argar MP, Paul Scully and The Rt Hon Alex Chalk KC",27 June 2023,"Abusers, predators and bitter ex-partners who share intimate images online without consent of those depicted will face jail time under new measures announced today (27 June 2023).

New amendments to the Online Safety Bill will protect victims of so-called “revenge porn” by changing current laws which require the prosecution to prove that perpetrators shared sexual images or films in order to cause distress.

Removing the need for lawyers to prove the intention of distress will make it easier to charge and convict someone who shares intimate images without consent – putting more offenders behind bars and better protecting the public. Those found guilty of this base offence have a maximum penalty of 6 months in custody.

And where it is proven a perpetrator also intended to cause distress, alarm or humiliation, or to obtain sexual gratification, they could face a 2-year prison term. Offenders found guilty of sharing the image for sexual gratification could also be placed on the sex offender register.

The reforms follow the campaigning of Georgia Harrison, who was the victim of image based abuse at the hands of her former partner, and Dame Maria Miller MP as well as recommendations from the Law Commission, to introduce reforms to the laws covering the abuse of images.

Lord Chancellor and Secretary of State for Justice, Alex Chalk KC, said:

We are cracking down on abusers who share or manipulate intimate photos in order to hound or humiliate women and girls.

Our changes will give police and prosecutors the powers they need to bring these cowards to justice, safeguarding women and girls from such vile abuse.

Campaigner Georgia Harrison said:

The reforms to the law that has been passed today are going to go down in history as a turning point for generations to come and will bring peace of mind to so many victims who have reached out to me whilst also giving future victim’s the justice they deserve.

I’m so grateful to everyone who supported me throughout this campaign and it just goes to show how amazing our country is that the government have reacted so quickly to push through these amendments.

For the first time, the sharing of ‘deep fake’ intimate images – explicit images or videos which have been digitally manipulated to look like someone else – will also be criminalised.

Deepfakes typically involve the use of editing software to make and share fake images of a person without their consent, which are often pornographic in nature.

This type of image has been increasing in recent years with a website that virtually strips women naked receiving 38 million hits in the first 8 months of 2021.

Minister for Technology and the Digital Economy, Paul Scully, said:

The unsolicited sharing and manipulation of intimate photos is a cowardly and revolting thing to do and has an absolutely devastating impact on the lives of women and girls across the UK.

The Online Safety Bill will make the UK the safest place in the world to be online. These new laws set a global standard for bringing justice to those who share these images, protecting women and girls from this shocking abuse.

Research shows 1 in 7 women and 1 in 9 men aged between 18 and 34 have experienced threats to share intimate images, with more than 28,000 reports of disclosing private sexual images without consent recorded by police between April 2015 and December 2021.

By broadening the scope of current intimate image offences through the Online Safety Bill, more perpetrators will face prosecution and potentially time in jail.

Justice Minister, Edward Argar, said:

No-one should ever fear that their intimate images will be put online without their consent and the true courage shown by Georgia Harrison to tell her story will help empower more victims to come forward and get the justice they deserve.

Our reforms will make it easier to convict these vile individuals and protect women from being subject to such predatory abuse.

